jobId,nEvt,nProc,nInst,elapsed,cpuEff,vsz,rsz
5266596,1600,20,2,2603,40.206805055042935,973471004,11892936
5266596,1600,20,2,2663,40.21255617728707,973486760,11930680
5266596,1600,20,2,2723,40.10824201985244,972541868,11858420
5266596,1600,20,2,2784,39.85113157787217,972549832,11872272
5266596,1600,20,2,2844,39.486458796526435,750786064,9231680
5266596,1600,20,2,2904,38.95216002715789,640364140,7936720
5266596,1600,20,2,2965,13.912254861951768,397429252,4987960
5266596,1600,20,2,3025,5.006806203835391,154861484,1990652
5266598,1600,22,2,10,0.0,494204,20560
5266598,1600,22,2,70,4.016666666666667,100022652,765456
5266598,1600,22,2,131,40.66185254889129,1162090736,10618216
5266598,1600,22,2,191,44.10286766640357,1162151040,10871060
5266598,1600,22,2,251,44.4251836155058,1162176304,11119152
5266598,1600,22,2,311,44.45548682623757,1162189184,11330056
5266598,1600,22,2,372,44.27617387830795,1162197928,11508424
5266598,1600,22,2,432,44.2932276220159,1162200360,11630340
5266598,1600,22,2,492,44.35260627076454,1162205152,11772908
5266598,1600,22,2,552,44.367290583394,1162210240,11877964
5266598,1600,22,2,613,44.26733895101594,1162211660,11939168
5266598,1600,22,2,673,44.28022379539907,1162216916,12034840
5266598,1600,22,2,733,44.30492202367664,1162220636,12118204
5266598,1600,22,2,794,44.26924337041392,1162221228,12210400
5266598,1600,22,2,854,44.27244869787977,1162222048,12252868
5266598,1600,22,2,914,44.27923690919524,1162222048,12290576
5266598,1600,22,2,974,44.294759904484934,1162222048,12322376
5266598,1600,22,2,1035,44.26047846824033,1162224924,12385332
5266598,1600,22,2,1095,44.26699000631681,1162225884,12421320
5266598,1600,22,2,1155,44.276686434406955,1162228500,12455296
5266598,1600,22,2,1215,44.28853220863462,1162229564,12483944
5266598,1600,22,2,1276,44.260707882918865,1162230440,12515792
5266598,1600,22,2,1336,44.263696937856096,1162231456,12552760
5266598,1600,22,2,1396,44.27312751949731,1162238924,12597808
5266598,1600,22,2,1457,44.24835835559412,1162238924,12615392
5266598,1600,22,2,1517,44.257970347602964,1162242984,12654744
5266598,1600,22,2,1577,44.261893195615414,1162244760,12674968
5266598,1600,22,2,1637,44.26864409860909,1162246920,12710844
5266598,1600,22,2,1698,44.250189429719775,1162255532,12734884
5266598,1600,22,2,1758,44.25769773779314,1162255532,12753612
5266598,1600,22,2,1818,44.261573809545254,1162255532,12773484
5266598,1600,22,2,1878,44.2657248406573,1162259380,12796348
5266598,1600,22,2,1939,44.24818681353004,1162260808,12812644
5266598,1600,22,2,1999,44.25469321296088,1162260808,12830896
5266598,1600,22,2,2059,44.26124103573853,1162262872,12849116
5266598,1600,22,2,2120,44.24284516396192,1162262872,12860884
5266598,1600,22,2,2180,44.24943277616033,1162262872,12869744
5266598,1600,22,2,2240,44.25287200730995,1162262872,12883540
5266598,1600,22,2,2300,44.25653824876249,1162265508,12915232
5266598,1600,22,2,2361,44.241932758421086,1162273084,12945088
5266598,1600,22,2,2421,44.24827719534178,1162276504,12955236
5266598,1600,22,2,2481,44.25175658354022,1162309252,12990108
5266598,1600,22,2,2542,44.05444236789202,1161361932,12911204
5266598,1600,22,2,2602,40.80794416190181,1088844276,12134632
5266598,1600,22,2,2662,28.91528238762967,749737064,8297644
5266598,1600,22,2,2722,23.813538673112646,628807604,6999872
5266598,1600,22,2,2783,21.562594413896406,387010084,4411464
5266598,1600,22,2,2843,7.980787079851031,241947976,2833692
5266599,1600,23,2,10,0.0,490488,20552
5266599,1600,23,2,70,4.088934426229509,104213356,773800
5266599,1600,23,2,130,42.27597796143254,1262906080,11111536
