jobId,nEvt,nProc,nInst,elapsed,cpuEff,vsz,rsz
5254905,1600,20,1,3,0.0,644124,21024
5254905,1600,20,1,64,2.0035358405657346,46126092,397980
5254905,1600,20,1,124,19.628136400863674,486878132,4913780
5254905,1600,20,1,184,20.111706466003312,486893240,5022768
5254905,1600,20,1,244,20.146684330805655,486905120,5131396
5254905,1600,20,1,305,20.10615410500838,486906504,5216956
5254905,1600,20,1,365,20.128064228667785,486911184,5284840
5254905,1600,20,1,425,20.149626753568025,486917468,5361340
5254905,1600,20,1,485,20.142968478722523,486917468,5399748
5254905,1600,20,1,545,20.145284767398163,486918920,5444040
5254905,1600,20,1,606,20.123354509473042,486919724,5478196
5254905,1600,20,1,666,20.137712646659033,486921420,5520680
5254905,1600,20,1,726,20.13915975849837,486921420,5554192
5254905,1600,20,1,786,20.141609211924152,486923256,5603164
5254905,1600,20,1,847,20.124072336647046,486923256,5616908
5254905,1600,20,1,907,20.132440529219938,486924916,5639424
5254905,1600,20,1,967,20.137309454387093,486925064,5656028
5254905,1600,20,1,1027,20.133257459336185,486925064,5663816
5254905,1600,20,1,1088,20.117948546829552,486927076,5689276
5254905,1600,20,1,1148,20.12649684819376,486927520,5720564
5254905,1600,20,1,1208,20.129797232201547,486928916,5734960
5254905,1600,20,1,1268,20.1342710892577,486931436,5756392
5254905,1600,20,1,1329,20.119457428868483,486931436,5763668
5254905,1600,20,1,1389,20.120307825249682,486931436,5778516
5254905,1600,20,1,1449,20.1253825292337,486931436,5799416
5254905,1600,20,1,1509,20.128726728681173,486931436,5812516
5254905,1600,20,1,1569,20.131590431182474,486931436,5826844
5254905,1600,20,1,1630,20.11855143582799,486931436,5829088
5254905,1600,20,1,1690,20.119198976748216,486931436,5838504
5254905,1600,20,1,1750,20.122796332194753,486935776,5845244
5254905,1600,20,1,1810,20.126723285669655,486935776,5848212
5254905,1600,20,1,1870,20.129195526317282,486936268,5857772
5254905,1600,20,1,1931,20.117349482821773,486936268,5859532
5254905,1600,20,1,1991,20.118442221219983,486936268,5869616
5254905,1600,20,1,2051,20.121494432109102,486937636,5874112
5254905,1600,20,1,2111,20.124881633269293,486937636,5876048
5254905,1600,20,1,2172,20.11685972038354,486937636,5881568
5254905,1600,20,1,2232,20.117345549792294,486937636,5882172
5254905,1600,20,1,2292,20.11783930757829,486946484,5890864
5254905,1600,20,1,2352,20.1192097491387,486946484,5898572
5254905,1600,20,1,2413,20.114734071459306,486955420,5920340
5254905,1600,20,1,2473,20.116063340576787,486962320,5934088
5254905,1600,20,1,2533,20.117694063538053,486976496,5957744
5254905,1600,20,1,2593,20.119676713874895,486980624,5970444
5254905,1600,20,1,2653,20.121605738083186,486980624,5987584
5254905,1600,20,1,2714,20.117222738373023,486983032,6017604
5254905,1600,20,1,2774,20.11795832271875,486983032,6017424
5254905,1600,20,1,2834,20.11759816287107,486989204,6026880
5254905,1600,20,1,2894,20.118304456951215,486994844,6031096
5254905,1600,20,1,2955,20.115074126991356,487001488,6042224
5254905,1600,20,1,3015,20.11683235817686,487002916,6048232
5254905,1600,20,1,3075,20.117827002057062,487004988,6053680
5254905,1600,20,1,3135,20.11879211024025,487005736,6059772
5254905,1600,20,1,3195,20.119746942900395,487005736,6061944
5254905,1600,20,1,3256,20.114911618006406,487019472,6083596
5254905,1600,20,1,3316,20.116498389304784,487021452,6087488
5254905,1600,20,1,3376,20.117721623991464,487023352,6100408
5254905,1600,20,1,3436,20.117716723253743,487025920,6102272
5254905,1600,20,1,3497,20.112096401704605,487026200,6103320
5254905,1600,20,1,3557,20.11479309869205,487026200,6103632
5254905,1600,20,1,3617,20.11484389635615,487039908,6116188
5254905,1600,20,1,3677,20.116536732166708,487060072,6139128
5254905,1600,20,1,3738,20.111568160697367,487063300,6146184
5254905,1600,20,1,3798,20.112743635473514,487063900,6149612
5254905,1600,20,1,3858,20.114413715449075,487070132,6156744
5254905,1600,20,1,3918,20.114208539310706,487070660,6159236
5254905,1600,20,1,3978,20.11629051968417,487075292,6166520
5254905,1600,20,1,4039,20.111952725525256,487082744,6175116
5254905,1600,20,1,4099,20.112293177818753,487097700,6183060
5254905,1600,20,1,4159,20.115050840944015,487100656,6193188
5254905,1600,20,1,4219,20.116043794042028,487103072,6195996
5254905,1600,20,1,4280,20.111730206275027,487103204,6196688
5254905,1600,20,1,4340,20.112510618289324,487105324,6200140
5254905,1600,20,1,4400,20.114883674022266,487119568,6218748
5254905,1600,20,1,4460,20.11560841614003,487125756,6226996
5254905,1600,20,1,4521,20.111313366296656,487127548,6229408
5254905,1600,20,1,4581,20.112928296697017,487131992,6237444
5254905,1600,20,1,4641,20.11386127999241,487136808,6244316
5254905,1600,20,1,4701,20.11499968338011,487138416,6247272
5254905,1600,20,1,4761,20.115448392515876,487146804,6263416
5254905,1600,20,1,4822,20.112471849532838,487155972,6278220
5254905,1600,20,1,4882,20.113355607912762,487159684,6291536
5254905,1600,20,1,4942,20.113823022549425,487159684,6292688
5254905,1600,20,1,5002,20.1156854054511,487178724,6315240
5254905,1600,20,1,5063,20.11145740651381,487178724,6323944
5254905,1600,20,1,5123,20.112118728221976,487185068,6349296
5254905,1600,20,1,5183,20.112567583316558,487187200,6354084
5254905,1600,20,1,5243,20.11397519006675,487200832,6376052
5254905,1600,20,1,5303,20.11516132508916,487209712,6386984
5254905,1600,20,1,5364,20.111370215413704,487212936,6392996
5254905,1600,20,1,5424,20.112361373946094,487215900,6399808
5254905,1600,20,1,5484,20.113339675449645,487234720,6422924
